Frequency (Hz)	Level (dB)
641.958618	-71.982727
643.304443	-80.819069
644.650269	-80.111656
645.996094	-79.950348
647.341919	-80.519608
648.687744	-82.493385
650.033569	-79.714027
651.379395	-87.595688
652.725220	-80.243233
654.071045	-81.877426
655.416870	-88.073387
656.762695	-98.144028
658.108521	-83.340874
659.454346	-97.090965
660.800171	-83.681068
662.145996	-83.075813
663.491821	-84.446823
664.837646	-91.453636
666.183472	-91.007782
667.529297	-98.039467
668.875122	-96.353653
670.220947	-91.272575
671.566772	-101.361282
672.912598	-97.943123
674.258423	-88.849442
675.604248	-84.429070
676.950073	-83.429337
678.295898	-85.539650
679.641724	-85.191650
680.987549	-95.443947
682.333374	-91.792625
683.679199	-92.145386
685.025024	-81.363091
686.370850	-84.152145
687.716675	-92.990501
689.062500	-88.645531
690.408325	-89.701797
691.754150	-81.794518
693.099976	-79.385643
694.445801	-84.561501
695.791626	-82.863831
697.137451	-83.862305
698.483276	-76.091454
699.829102	-80.242531
701.174927	-91.579453
702.520752	-92.857407
703.866577	-91.517715
705.212402	-91.517876
706.558228	-87.055000
707.904053	-88.344307
709.249878	-88.191719
710.595703	-90.688553
711.941528	-94.408737
713.287354	-99.277870
714.633179	-91.323494
715.979004	-85.565575
717.324829	-89.842079
718.670654	-94.901588
720.016479	-103.262520
721.362305	-95.732140
722.708130	-98.342728
724.053955	-91.681160
725.399780	-86.133339
726.745605	-86.911255
728.091431	-88.431389
729.437256	-87.033188
730.783081	-85.160133
732.128906	-88.823700
733.474731	-84.395462
734.820557	-81.449890
736.166382	-85.260788
737.512207	-79.024551
738.858032	-75.805092
740.203857	-78.856064
741.549683	-82.794365
742.895508	-80.802437
744.241333	-76.679115
745.587158	-75.267128
746.932983	-82.476921
748.278809	-80.522987
749.624634	-75.685417
750.970459	-77.094017
752.316284	-83.064629
753.662109	-99.269569
755.007935	-82.688293
756.353760	-83.485550
757.699585	-96.259338
759.045410	-87.532173
760.391235	-85.081223
761.737061	-85.832428
763.082886	-97.132072
764.428711	-94.406570
765.774536	-96.061981
767.120361	-95.947563
768.466187	-107.781265
769.812012	-102.042641
771.157837	-100.287064
772.503662	-89.981781
773.849487	-85.656525
775.195312	-92.431168
776.541138	-87.951195
777.886963	-80.054108
779.232788	-77.655838
780.578613	-79.812317
781.924438	-83.218773
783.270264	-85.362938
784.616089	-83.036545
785.961914	-89.137512
787.307739	-78.415932
788.653564	-76.165077
789.999390	-83.345467
791.345215	-82.569595
792.691040	-85.248825
794.036865	-85.392349
795.382690	-79.856506
796.728516	-75.801865
798.074341	-77.798225
799.420166	-79.119484
800.765991	-78.611687
802.111816	-76.733940
803.457642	-74.114403
804.803467	-74.384903
806.149292	-74.692703
807.495117	-77.359604
808.840942	-83.944092
810.186768	-88.317383
811.532593	-81.453857
812.878418	-88.750549
814.224243	-93.775139
815.570068	-96.969620
